STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Nitrite N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,latitude,longitude
1312,07-03-2025,Jul,14:45:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,1,28,7.2,8.6,607,2.2,0.44,NA,1.8(BDL),25,1.8(BDL),1.06,5(BDL),160,65.48,8,2.24,0.92,130,64,66,76.9,59.8,496,447,10(BDL),0.82,0.51,3.35,0.68,19°29.263',75°22.272'
2158,07-03-2025,Jul,14:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.3,8.6,610,3.6,0.43,NA,1.8(BDL),20,1.8(BDL),1.3,6,160,66.48,16,1.68,1.33,140,72,68,95.5,63.43,493,444,10(BDL),0.98,0.54,3.3,0.97,19°30.887’,75°22.457’
2159,07-03-2025,Jul,16:00:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,7.4,8.6,613,2.2,0.41,NA,1.8(BDL),13,1.8(BDL),1.01,5(BDL),160,64.98,8,2.8,1.18,150,70,80,61.5,59.78,509,459,11,0.9,0.53,3.36,0.55,19°28.835’,75°23.835’
2160,07-03-2025,Jul,13:00:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,5.7,8.6,611,4.2,0.43,NA,1.8(BDL),17,1.8(BDL),1.8,5(BDL),142,65.98,16,3.36,1.6,140,70,70,79.04,61.75,515,464,11,0.87,0.56,3.43,0.67,19°37.463’,75°01.490’
2161,07-09-2025,Jul,14:15:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,1.5,30,6.4,8.4,989,3,1.34,NA,1.8(BDL),21,1.8(BDL),1.88,6,140,112.96,12,2.24,1.14,238,102,136,232.7,111.8,806,726,19,0.8,0.56,5.83,0.56,19°21.392’,75°42.870’
2657,07-03-2025,Jul,14:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,1,30,7.2,8.4,350,2.2,0.94,NA,1.8(BDL),21,1.8(BDL),1.03,6,162,13,8,2.24,1.69,140,72,68,79.04,23.68,309,279,33,0.99,0.52,1.83,0.66,18° 54.922’,75° 44.236’
2157,07-02-2025,Jul,06:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),None,Cloudy,Less than 50cm,Fishing,Yes,Light Brown,None,1,21,6.5,8.2,457,3.8,0.79,NA,1.8(BDL),16,1.8(BDL),1.44,5(BDL),160,38.99,16,1.68,0.67,130,60,70,36.36,30.72,383,345,11,1.84,0.51,3.55,0.67,18°33.243’,76°08.899’
2673,07-02-2025,Jul,07:00:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Municipal Sewage,A (Drinking Water source without conventional treatment but after disinfection),Muncipal Sewage,Cloudy,Less than 50cm,Washing,Yes,Clear,None,1,20,5.8,8,610,4.2,2.4,NA,1.8(BDL),21,1.8(BDL),1.23,5(BDL),160,75.98,20,2.8,0.64,170,80,90,51.46,46.44,502,452,32,0.45,0.52,5.05,0.55,18° 25.826’,76° 40.253’
1209,07-03-2025,Jul,06:45:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,16,5.6,8.3,682,4.2,0.9,NA,1.8(BDL),14,1.8(BDL),1.52,5(BDL),150,66.98,20,3.36,0.49,150,60,90,99.72,64.26,557,502,13,0.97,0.55,4.03,0.39,18°53.781’,77°40.660’
1210,07-03-2025,Jul,09:00:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),Industrial,Clear,Less than 50cm,"Bathing,Fishing,Boating,Tourism Spot",Yes,Clear,None,0,18,6.3,8.2,674,3.6,0.85,NA,1.8(BDL),30,1.8(BDL),1.47,6,162,63.98,16,2.24,0.83,180,82,98,94,64.54,556,501,10(BDL),1.05,0.53,4.07,0.81,19°07.611’,77°16.763’
